method,descriptor,mae,rmse,r2,n
mean,brightness,17.257150650024414,20.30702018737793,-0.013884251489910682,1481
mean,depth,15.646788597106934,18.24032211303711,-0.007435765572379793,1481
mean,hardness,15.936601638793945,18.626493453979492,-0.009379678574489292,1481
mean,roughness,16.24407386779785,20.641447067260742,-0.034641678744665505,1481
mean,warmth,14.312528610229492,16.4845027923584,-0.006601799232986982,1481
mean,sharpness,16.0616455078125,18.88113021850586,-0.009616964753213386,1481
mean,boominess,15.01648235321045,18.539304733276367,-0.008264735983405158,1481
mean,macro,15.78218160356794,18.81717436654227,-0.012832124907292972,
ridge,brightness,12.77729320526123,15.973348617553711,0.37268176453901536,1481
ridge,depth,11.834845542907715,14.786477088928223,0.3379637234567352,1481
ridge,hardness,12.256182670593262,15.110339164733887,0.33573585589505606,1481
ridge,roughness,12.886270523071289,16.769838333129883,0.3170837748041345,1481
ridge,warmth,10.359030723571777,12.865692138671875,0.38684212686081565,1481
ridge,sharpness,12.76481819152832,15.950017929077148,0.27951824105133816,1481
ridge,boominess,11.812299728393555,14.974774360656738,0.34217814418052284,1481
ridge,macro,12.098677226475306,15.204355376107353,0.3388576615410882,
mlp,brightness,11.21981143951416,14.57702922821045,0.4775628860699498,1481
mlp,depth,10.566951751708984,13.717735290527344,0.4302068296720909,1481
mlp,hardness,10.79396915435791,13.942524909973145,0.434444461906075,1481
mlp,roughness,12.277979850769043,16.29705810546875,0.35504684774219897,1481
mlp,warmth,8.985934257507324,11.628121376037598,0.4991299291022946,1481
mlp,sharpness,11.485278129577637,14.676615715026855,0.3899681239198005,1481
mlp,boominess,11.028046607971191,14.164626121520996,0.4114302808982713,1481
mlp,macro,10.908281598772321,14.143387249537877,0.4282556227586687,
